feature,mean_importance,std_importance,mean_rank
f160,0.000066,0.000023,687.00
f161,0.000099,0.000015,657.00
f162,0.000061,0.000022,688.67
f163,0.000075,0.000024,678.00
f164,0.001331,0.000625,195.67
f165,0.001455,0.000703,209.67
f166,0.000161,0.000167,616.33
f167,0.001464,0.000591,187.00
f168,0.001690,0.000364,142.00
f169,0.001548,0.000397,157.33
f170,0.001249,0.000206,180.00
f171,0.001178,0.000133,187.67
f172,0.005770,0.000983,39.00
f173,0.004497,0.000674,55.67
f174,0.005464,0.002533,59.00
f175,0.005513,0.000626,42.33
f176,0.016917,0.002323,5.33
f177,0.006402,0.000583,34.33
f178,0.008770,0.000898,21.00
f179,0.003166,0.000520,77.00
f180,0.000287,0.000110,513.33
f181,0.000565,0.000435,407.00
f182,0.000208,0.000195,581.67
f183,0.000333,0.000195,489.00
f184,0.004323,0.001386,60.33
f185,0.004260,0.001131,60.00
f186,0.003771,0.001279,72.67
f187,0.003903,0.000988,66.33
f188,0.001883,0.000550,131.33
f189,0.005925,0.001720,43.33
f190,0.001187,0.000991,286.00
f191,0.004202,0.000602,60.00
f192,0.001333,0.000325,170.67
f193,0.004140,0.000361,60.67
f194,0.003588,0.000643,67.67
f195,0.004367,0.001133,60.67
f196,0.008912,0.000966,20.33
f197,0.013198,0.001023,9.67
f198,0.008130,0.001013,23.67
f199,0.002656,0.000813,96.33
f200,0.001174,0.000187,186.67
f201,0.000468,0.000096,396.67
f202,0.001344,0.000683,215.00
f203,0.005472,0.001321,45.00
f204,0.011512,0.000579,13.33
f205,0.014311,0.002368,9.00
f206,0.003870,0.000274,63.33
f207,0.006511,0.000423,32.33
f208,0.001743,0.000394,135.67
f209,0.001440,0.000136,157.67
f210,0.002293,0.000605,110.00
f211,0.001143,0.000390,212.67
f212,0.004196,0.000891,60.00
f213,0.004325,0.001564,61.33
f214,0.002884,0.000528,86.67
f215,0.004198,0.001703,66.33
f216,0.003609,0.000573,69.67
f217,0.002882,0.000793,89.00
f218,0.003748,0.000706,69.67
f219,0.003203,0.000488,78.67
f220,0.005288,0.000293,45.67
f221,0.005145,0.000697,48.33
f222,0.000727,0.000534,360.00
f223,0.001668,0.001008,175.33
f224,0.002162,0.000654,120.33
f225,0.001397,0.000472,175.67
f226,0.001807,0.000615,140.33
f227,0.001570,0.000537,156.67
f228,0.001520,0.000215,150.33
f229,0.002012,0.000276,118.00
f230,0.002207,0.000735,121.00
f231,0.001884,0.000429,128.67
f232,0.001554,0.000641,182.00
f233,0.001115,0.000293,205.33
f234,0.001831,0.000970,169.33
f235,0.001221,0.000430,205.33
f236,0.000522,0.000318,403.33
f237,0.000425,0.000277,440.67
f238,0.000818,0.000138,252.67
f239,0.000527,0.000182,372.33
f240,0.000346,0.000169,474.67
f241,0.000665,0.000412,363.67
f242,0.000634,0.000221,335.67
f243,0.000592,0.000060,329.33
f244,0.000299,0.000100,499.33
f245,0.000573,0.000178,345.67
f246,0.000486,0.000162,393.33
f247,0.000411,0.000112,427.33
f248,0.000843,0.000415,284.33
f249,0.000284,0.000083,512.67
f250,0.000932,0.000510,270.00
f251,0.000575,0.000053,341.33
f252,0.000715,0.000276,309.33
f253,0.001092,0.000254,202.00
f254,0.001792,0.000830,149.00
f255,0.001780,0.000552,140.67
f256,0.000364,0.000073,459.00
